review,sentiment
"The fact that this movie has been entitled to the most successful movie in Switzerland's film history makes me shake my head! It's true, but pitiful at the same time. A flick about the Swiss army could be a good deal better.<br /><br />The story sounds interesting, at the beginning: Antonio Carrera (Michael Koch) gets forced to absolve his military training by the army while he is in the church, wedding his love Laura Moretti (Mia Aegerter).<br /><br />The Acting in some way doesn't really differ from just a few recruits getting drunk and stoned in the reality. Melanie Winiger plays her role as the strong Michelle Bluntschi mediocre, personally i found her rather annoying. <br /><br />The storyline contains a comedy combined with a romance, which does not work as expected. The romance-part is too trashy, and the comedy-part is not funny at all, it's just a cheap try and does not change throughout the whole movie whatsoever. It's funny for preadolescent 12-13 year olds, but not for such as those who search an entertaining comedy. The humor is weak except for some shots.<br /><br />Dope? Cool! Stealing? Cool! If you want a proper comedy about the Swiss RS, make sure you did not absolve your military training yet, and even then don't expect too much!<br /><br />I'll give it 4 out of 10 stars, because Marco Rima is quite funny during his screen time. Not a hell of a lot screen time though",negative
"I have to confess that I am severely disappointed.<br /><br />This version can in no way compete with the version of 1995. The reason why I watched it was that I wasn't entirely happy with Ciaran Hinds as Captain Wentworth and thought that Rupert Penry-Jones looked much more like the Captain I had imagined when I read the book. And he was too.<br /><br />Unfortunately that is the only redeeming quality of the film. The rest is as un-Austen-like as possible.<br /><br />Miss Elliot would NEVER have run through the streets of Bath like this. It wasn't in her character and it just wasn't done by a lady of the those times. The Anne Elliot of the book was a lady and she had dignity. There are other painful anachronisms but this was the worst.<br /><br />Although there are 3 important quotes from the book, they are at entirely inappropriate moments, warning those who know the book that yet another important part of the book will either be missing or completely changed.<br /><br />And although this version is not much shorter than the other one, it feels like everything is rushed. Very little care was taken to introduce the characters, show their dispositions and motives. Important scenes were omitted. How could they possibly have butchered the final scenes in this way ? A disaster ! And it was by far not as beautifully photographed as the other one.<br /><br />No, no, no. If you love Austen, then don't waste your time with this.",negative
"First off I want to say that I lean liberal on the political scale and I found the movie offensive. I managed to watch the whole doggone disgrace of a film . This movie brings a low to original ideas. Yes it was original thus my 2 stars instead of 1. Are our film writers that uncreative that they can only come up with this?? Acting was horrible , and the characters were unlikeable for the most part. The lead lady in the story had no good qualities at all. They made her bf into some sort of a bad guy and I did not see that at all. Maybe I missed something , I do not know.He was the most down to earth, relevant character in the movie. I did not shell out any money for this garbage. I almost wish PETA would come to the rescue of this awful, offensive movie and form a protest. DISGUSTING thats all I have to say anymore !",negative
"I was excited to see a sitcom that would hopefully represent Indian Candians but i found this show to be not funny at all. The producers and cast are probably happy to get both bad and good feed back because as far as they are concerned it's getting talked about! I was ready for some stereotyping and have no problem with it because stereotypes exist for a reason, they are usually true. But there really wasn't anything funny about these stereotypical characters. The ""fresh of the boat"" dad, who doesn't understand his daughter. The radical feminist Muslim daughter (who by the way is a terrible actress), and the young modern Indian man trying to run his mosque as politically correct as he can (he's a pretty good actor, i only see him getting better).<br /><br />it is very contrived and the dialog doesn't flow that well. there was so much potential for something like this but sadly i think it failed, and don't really care to watch another episode.<br /><br />I did however enjoy watching a great Canadian actress Sheila McCarthy again, she's always a treat and a natural at everything she does, too bad her daughter in the show doesn't have the same acting abilities!",negative
"When you look at the cover and read stuff about it an entirely different type of movie comes to mind than what you get here. Then again maybe I read the summary for the other movie called ""Mausolem"" instead as there were two movies of this title released about the same time with both featuring plots that had key elements in common. However, reading stuff about that movie here I know I saw this one and not that one and that movie is even less what one would imagine a movie with that title would be about. I will be honest, I expect more of a zombie type picture and you get that in this movie to some degree. However, there is more stuff involving the occult and strange powers as the opening scene of the people being taken away by the coroner at the beginning of the film will attest to. The movie also has the old theme of kids going somewhere they do not belong to have some crazy party, in this case it is in fact a mausoleum. The other movie I do not think really has that key feature playing that prominent role in the movie and I see the score for this one is higher too, still it was just not the movie I was expecting.",negative
"Like many others, I counted on the appearance of Dennis Hopper to make this not a complete waste of time. I was sadly mistaken. Everything negative said about this flic is more than true. What takes the cake however, is the horrible, horrible storyline for the main character.<br /><br />Here's why: The planet might be destroyed, the ONLY way to recover from it, for the ENTIRE human race to be saved trough it, is to get as many smart, capable, nice, competent people into an underground hide-out. And Dennis Hopper is the lone seer/scientist with vision who was prepared for the worst, and who has realized this. But what's the main motivation of Stevens (Sonny D'Angelo)?? He's angry because Dennis has decided who is to be saved or to be doomed! While it clearly explained to Stevens that Dennis' character has done everything to warn people of the danger but that he was laughed at. The Hopper-character was the boy with the finger in the dike, and now Stevens is blaming him for 'picking and choosing'??? And if that isn't enough, he wants to stop everybody from entering this hideout, because ""it isn't fair!?"" AND.... he's responsible for the death of the one guy who is humanity's saviour! OH MY GOD, how stupid can you get?<br /><br />What's also maddening that IMDb forces one to write minimal ten lines about this piece of crap. I mean, TWO MILLION in budget, what could have been done with that? Think Clerks, Blair Witch, and lotsa other movies who have been made for under 100.000 dollars and were still better. AAAAARGH! I count myself lucky that I didn't pay one penny to see this crap, and to sit through the end of this utter, ??ber-crap, is one the most heroic things I've done this year. It's no wonder that the writers of this pile of dung had jobs as camera operator and title designer before ...",negative
"This movie was on t.v the other day, and I didn't enjoy it at all. The first George of the jungle was a good comedy, but the sequel.... completely awful. The new actor and actress to play the lead roles weren't good at all, they should of had the original actor (Brendon Fraiser) and original actress (i forgot her name) so this movie gets the 0 out of ten rating, not a film that you can sit down and watch and enjoy, this is a film that you turn to another channel or take it back to the shop if hired or bought. It was good to see Ape the ape back, but wasn't as fun as the first, they should of had the new George as Georges son grown up, and still had Bredon and (whats her face) in the film, that would've been a bit better then it was.",negative
"Hickory Dickory Dock was a good Poirot mystery. I confess I have not read the book, despite being an avid Agatha Christie fan. The adaptation isn't without its problems, there were times when the humour, and there were valiant attempts to get it right, was a little overdone, and the events leading up to the final solution were rather rushed. I also thought there were some slow moments so some of the mystery felt padded. However, I loved how Hickory Dickory Dock was filmed, it had a very similar visual style to the brilliant ABC Murders, and it really set the atmosphere, what with the dark camera work and dark lighting. The darker moments were somewhat creepy, this was helped by one of the most haunting music scores in a Poirot adaptation, maybe not as disturbing as the one in One Two Buckle My Shoe, which gave me nightmares. The plot is complex, with all the essential ingredients, though not as convoluted as Buckle My Shoe,and in some way that is a good thing. The acting was very good, David Suchet is impeccable(I know I can't use this word forever but I can't think of a better word to describe his performance in the series) as Poirot, and Phillip Jackson and Pauline Moran do justice to their integral characters brilliantly. And the students had great personalities and well developed on the whole, particularly Damian Lewis as Leonard. All in all, solid mystery but doesn't rank along the best. 7.5/10 Bethany Cox",positive
"""One Crazy Summer"" is the funniest, craziest (not necessarily the best), movie I have ever seen.<br /><br />Just when one crazy scene is done, another emerges. It never lets you rest. Just one thing after another. The soundtrack is great. The songs are the right ones for the scenes.<br /><br />It is also a clean movie. Little that is dirty in it.<br /><br />Of course, it has the story of the guys you wouldn't trust with your lunch money, taking up a challenge, and winning over people with more resources. Who'd want to see it if they failed? There is a serious side, in that parents and children do not live up to each others' dreams. One should always have an open mind, and weigh all the options. This applies both to parents and children. In ""One Crazy Summer"", the parents are wrong. This is not always the case.",positive
"Low-budget schlockmeister Herschell Gordon Lewis reaches a new low (even for him) with ""The Gore Gore Girls,"" a 'film' (snicker) that possesses all of his technical trademarks: badly-recorded sound, poor lighting, and OTT gore. This would be tolerable, even a bit charming, if the film at least had an interesting plot (""Blood Feast,"" in all its ridiculous glory, is a fine example), but ""Girls"" is a total snooze. Completely unlikable pompous-ass private investigator Abraham Gentry (Frank Kress) is recruited by a newspaper reporter to find out who's been murdering out-of-shape strippers (you'll stop caring who the culprit is long before these two are wrapping up the case). As before, the appeal isn't the plot, but the creative methods of bloodletting (including a girl's fanny being tenderized with a wooden mallet) and the occasional flashes of then-risqu?? skin...but this just isn't enough to elevate the material above tedium.",negative
this was absolutely the most tragic pile of cinema to which i have ever born witness. not only was the name a complete misnomer--since the film has next to nothing to do with piranhas--but the acting is as hollow and stale as the attempt to actually make some kind of plot. when you watch this film you cannot help but spend every waking second questioning when you've had enough and it's time to turn it off. unfortunately i waited until the end in my case. that's two hours of my life that i will never be able to reclaim.,negative
